Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2000Q1,2000Q1,Argentina,ARG,74677.1357938154
2000Q1,2000Q1,Brazil,BRA,358634.709065575
2000Q1,2000Q1,China,CHN,520735.396114701
2000Q1,2000Q1,India,IND,187156.632029229
2000Q1,2000Q1,Indonesia,IDN,105544.811866187
2000Q1,2000Q1,Mexico,MEX,219693.883791591
2000Q1,2000Q1,Poland,POL,82738.2001335628
2000Q1,2000Q1,South Africa,ZAF,62501.4201607114
2000Q1,2000Q1,Korea Rep.,KOR,177296.661409864
2000Q1,2000Q1,Turkey,TUR,119446.699273971
2000Q2,2000Q2,Argentina,ARG,72914.2025374389
2000Q2,2000Q2,Brazil,BRA,360272.597479143
2000Q2,2000Q2,China,CHN,532469.19063774
2000Q2,2000Q2,India,IND,187309.129372087
2000Q2,2000Q2,Indonesia,IDN,105865.420765195
2000Q2,2000Q2,Mexico,MEX,223059.61533371
2000Q2,2000Q2,Poland,POL,83731.053588418
2000Q2,2000Q2,South Africa,ZAF,63076.5018624634
2000Q2,2000Q2,Korea Rep.,KOR,179659.157533345
2000Q2,2000Q2,Turkey,TUR,125461.877399489
2000Q3,2000Q3,Argentina,ARG,76157.7876630969
2000Q3,2000Q3,Brazil,BRA,363934.738503158
2000Q3,2000Q3,China,CHN,543696.222146363
2000Q3,2000Q3,India,IND,189747.55229335
2000Q3,2000Q3,Indonesia,IDN,107076.31742564
2000Q3,2000Q3,Mexico,MEX,224794.759019903
2000Q3,2000Q3,Poland,POL,84065.9552675884
2000Q3,2000Q3,South Africa,ZAF,63701.2579647051
2000Q3,2000Q3,Korea Rep.,KOR,184608.032825592
2000Q3,2000Q3,Turkey,TUR,128389.936844071
2000Q4,2000Q4,Argentina,ARG,76467.0593170813
2000Q4,2000Q4,Brazil,BRA,368776.307075543
2000Q4,2000Q4,China,CHN,555471.368704994
2000Q4,2000Q4,India,IND,189139.48112749
2000Q4,2000Q4,Indonesia,IDN,109649.625707992
2000Q4,2000Q4,Mexico,MEX,223305.787377646
2000Q4,2000Q4,Poland,POL,86672.0324126192
2000Q4,2000Q4,South Africa,ZAF,64243.1369340149
2000Q4,2000Q4,Korea Rep.,KOR,184009.057346835
2000Q4,2000Q4,Turkey,TUR,128029.060828704
2001Q1,2001Q1,Argentina,ARG,73298.7407812075
2001Q1,2001Q1,Brazil,BRA,370284.791212644
2001Q1,2001Q1,China,CHN,567085.409160678
2001Q1,2001Q1,India,IND,190273.907901904
2001Q1,2001Q1,Indonesia,IDN,109736.953369941
2001Q1,2001Q1,Mexico,MEX,223459.826066199
2001Q1,2001Q1,Poland,POL,85371.9309714577
2001Q1,2001Q1,South Africa,ZAF,64660.3759584931
2001Q1,2001Q1,Korea Rep.,KOR,186264.189183535
2001Q1,2001Q1,Turkey,TUR,122280.691303082
2001Q2,2001Q2,Argentina,ARG,72404.9533581956
2001Q2,2001Q2,Brazil,BRA,368667.237756807
2001Q2,2001Q2,China,CHN,577655.02085627
2001Q2,2001Q2,India,IND,194386.54064513
2001Q2,2001Q2,Indonesia,IDN,111217.501633498
2001Q2,2001Q2,Mexico,MEX,222221.857430333
2001Q2,2001Q2,Poland,POL,85030.4336288961
2001Q2,2001Q2,South Africa,ZAF,64983.5838071097
2001Q2,2001Q2,Korea Rep.,KOR,188683.539394557
2001Q2,2001Q2,Turkey,TUR,115976.469614772
2001Q3,2001Q3,Argentina,ARG,72539.2730104567
2001Q3,2001Q3,Brazil,BRA,365901.683505456
2001Q3,2001Q3,China,CHN,587394.446317865
2001Q3,2001Q3,India,IND,196632.567547668
2001Q3,2001Q3,Indonesia,IDN,110881.987222332
2001Q3,2001Q3,Mexico,MEX,222278.793773548
2001Q3,2001Q3,Poland,POL,85710.6801209397
2001Q3,2001Q3,South Africa,ZAF,65156.2120761742
2001Q3,2001Q3,Korea Rep.,KOR,191231.132512077
2001Q3,2001Q3,Turkey,TUR,118630.879143085
2001Q4,2001Q4,Argentina,ARG,68681.5861442913
2001Q4,2001Q4,Brazil,BRA,366829.697030976
2001Q4,2001Q4,China,CHN,600317.272346276
2001Q4,2001Q4,India,IND,201365.16433129
2001Q4,2001Q4,Indonesia,IDN,111739.430703604
2001Q4,2001Q4,Mexico,MEX,221239.515722065
2001Q4,2001Q4,Poland,POL,85967.8079359556
2001Q4,2001Q4,South Africa,ZAF,65657.2361207994
2001Q4,2001Q4,Korea Rep.,KOR,194601.744758407
2001Q4,2001Q4,Turkey,TUR,114300.360796564
2002Q1,2002Q1,Argentina,ARG,61316.8085898474
2002Q1,2002Q1,Brazil,BRA,371798.821247307
2002Q1,2002Q1,China,CHN,613937.084273922
2002Q1,2002Q1,India,IND,202650.170242991
2002Q1,2002Q1,Indonesia,IDN,113718.32097642
2002Q1,2002Q1,Mexico,MEX,219774.491850833
2002Q1,2002Q1,Poland,POL,86053.7920269356
2002Q1,2002Q1,South Africa,ZAF,66509.223423192
2002Q1,2002Q1,Korea Rep.,KOR,199553.350331694
2002Q1,2002Q1,Turkey,TUR,120724.304836751
2002Q2,2002Q2,Argentina,ARG,62210.5977080574
2002Q2,2002Q2,Brazil,BRA,377098.850684889
2002Q2,2002Q2,China,CHN,627782.603694655
2002Q2,2002Q2,India,IND,204540.370012196
2002Q2,2002Q2,Indonesia,IDN,115518.977882517
2002Q2,2002Q2,Mexico,MEX,221746.007628555
2002Q2,2002Q2,Poland,POL,86828.267189198
2002Q2,2002Q2,South Africa,ZAF,67314.5193830879
2002Q2,2002Q2,Korea Rep.,KOR,203169.527266861
2002Q2,2002Q2,Turkey,TUR,125437.933476857
2002Q3,2002Q3,Argentina,ARG,65646.7484496723
2002Q3,2002Q3,Brazil,BRA,381616.908566108
2002Q3,2002Q3,China,CHN,643866.253399683
2002Q3,2002Q3,India,IND,205384.572283788
2002Q3,2002Q3,Indonesia,IDN,116975.058896359
2002Q3,2002Q3,Mexico,MEX,223280.94242788
2002Q3,2002Q3,Poland,POL,87870.2102429387
2002Q3,2002Q3,South Africa,ZAF,67866.7742062859
2002Q3,2002Q3,Korea Rep.,KOR,207277.235091621
2002Q3,2002Q3,Turkey,TUR,127134.565559509
2002Q4,2002Q4,Argentina,ARG,66719.2697426679
2002Q4,2002Q4,Brazil,BRA,386092.447899343
2002Q4,2002Q4,China,CHN,658751.04610929
2002Q4,2002Q4,India,IND,206169.693823808
2002Q4,2002Q4,Indonesia,IDN,117181.989447913
2002Q4,2002Q4,Mexico,MEX,223977.291158836
2002Q4,2002Q4,Poland,POL,87958.083716661
2002Q4,2002Q4,South Africa,ZAF,68320.0693230255
2002Q4,2002Q4,Korea Rep.,KOR,209551.800105136
2002Q4,2002Q4,Turkey,TUR,127900.786831358
2003Q1,2003Q1,Argentina,ARG,64495.9097651654
2003Q1,2003Q1,Brazil,BRA,381300.792405024
2003Q1,2003Q1,China,CHN,678056.649747069
