Country,Scale,Base Year,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2
Argentina,Units,,...,...,...,...,...,...,...,...,82.46,41.83,23.51,6.63,6.63,3.13,1.57,1.67,1.28,2.50,2.50,2.50,2.75,4.25,4.25,5.00,5.00,5.75,5.75,6.25,10.40,10.25,10.37,10.75,11.07,11.84,12.26,12.05,14.00,16.25,9.75,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50
Brazil,Units,,18.50,17.50,16.50,15.75,15.75,18.25,19.00,19.00,18.50,18.50,18.00,25.00,26.50,26.00,20.00,16.50,16.25,16.00,16.25,17.75,19.25,19.75,19.50,18.00,16.50,15.25,14.25,13.25,12.75,12.00,11.25,11.25,11.25,12.25,13.75,13.75,11.25,9.25,8.75,8.75,8.75,10.25,10.75,10.75,11.75,12.25,12.00,11.00,9.75,8.50,7.50,7.25,7.25,8.00
"China, P.R.: Hong Kong",Units,,7.50,8.00,8.00,8.00,6.50,5.25,4.50,3.25,3.25,3.25,3.25,2.75,2.75,2.50,2.50,2.50,2.50,2.50,3.25,3.75,4.25,4.50,5.25,5.75,6.25,6.75,6.75,6.75,6.75,6.75,6.25,5.75,3.75,3.50,3.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
India,Units,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.25,...,...,...,7.25,...,...,...,7.75,...,...,...,6.50,...,...,...,4.75,...,...,...,6.25,...,...,...,8.50,8.50,8.00,8.00,8.00,7.50,7.25
Indonesia,Units,,11.03,11.74,13.62,14.53,15.58,16.65,17.57,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.00,12.75,12.75,12.50,11.25,9.75,9.00,8.50,8.25,8.00,8.00,8.50,9.25,9.25,7.75,7.00,6.50,6.50,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.00,5.75,5.75,5.75,5.75,5.75,6.00
"Korea, Rep. of",Units,,5.00,5.00,5.00,5.25,5.00,5.00,4.00,4.00,4.00,4.25,4.25,4.25,4.25,4.00,3.75,3.75,3.75,3.75,3.50,3.25,3.25,3.25,3.25,3.75,4.00,4.25,4.50,4.50,4.50,4.50,5.00,5.00,5.00,5.00,5.25,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.25,2.50,3.00,3.25,3.25,3.25,3.25,3.25,3.00,2.75,2.75,2.50
Mexico,Units,,...,...,...,...,...,...,...,...,7.11,8.13,8.05,8.25,8.92,4.36,4.30,6.12,6.13,6.53,7.62,8.75,9.51,9.76,9.26,8.27,7.27,7.03,7.05,7.02,7.04,7.30,7.28,7.57,7.50,7.75,8.25,8.25,6.75,4.75,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.00,4.00
"Poland, Rep. of",Units,,17.50,17.50,19.00,19.00,17.00,15.50,14.50,11.50,10.00,8.50,7.50,6.75,6.00,5.25,5.25,5.25,5.25,5.25,6.50,6.50,6.00,5.00,4.50,4.50,4.00,4.00,4.00,4.00,4.00,4.50,4.75,5.00,5.75,6.00,6.00,5.00,3.75,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.75,4.50,4.50,4.50,4.50,4.75,4.75,4.25,3.25,2.75
South Africa,Units,,11.75,11.75,11.75,12.00,12.00,11.00,9.50,9.50,11.50,12.50,13.50,13.50,13.50,12.00,10.00,8.00,8.00,8.00,7.50,7.50,7.50,7.00,7.00,7.00,7.00,7.50,8.00,9.00,9.00,9.50,10.00,11.00,11.00,12.00,12.00,11.50,9.50,7.50,7.00,7.00,6.50,6.50,6.00,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.00,5.00,5.00,5.00
Turkey,Units,,39.20,43.05,47.44,183.20,81.19,63.00,59.03,59.00,54.73,48.00,46.00,44.00,44.00,38.23,30.66,26.00,22.00,22.00,20.00,18.00,15.50,14.25,14.25,13.50,13.50,15.00,17.50,17.50,17.50,17.50,17.36,15.96,15.25,16.00,16.75,15.63,11.03,9.03,7.58,6.50,6.50,6.50,6.38,1.63,1.50,1.50,5.00,5.00,5.00,5.00,5.00,5.00,4.50,3.50
United States,Units,,6.00,6.50,6.50,6.50,5.31,3.97,3.27,1.75,1.75,1.75,1.75,1.25,1.25,1.00,1.00,1.00,1.00,1.25,1.75,2.25,2.75,3.25,3.75,4.25,4.75,5.25,5.25,5.25,5.25,5.25,4.75,4.25,2.25,2.00,2.00,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
