Time,Time Code,Country Name,Country Code,Real interest rate (%) [FR.INR.RINR]
2000,YR2000,Argentina,ARG,..
2000,YR2000,Brazil,BRA,48.504728193059
2000,YR2000,China,CHN,3.71066408172257
2000,YR2000,India,IND,8.34261083012153
2000,YR2000,Indonesia,IDN,-1.65421247091313
2000,YR2000,Mexico,MEX,5.19659251008799
2000,YR2000,Turkey,TUR,..
2000,YR2000,"Korea, Rep.",KOR,7.44714269653078
2000,YR2000,South Africa,ZAF,5.24254800562266
2000,YR2000,Poland,POL,..
2000,YR2000,United States,USA,6.84484418755139
2001,YR2001,Argentina,ARG,..
2001,YR2001,Brazil,BRA,45.6378187136299
2001,YR2001,China,CHN,3.72666388975553
2001,YR2001,India,IND,8.59144929618339
2001,YR2001,Indonesia,IDN,3.71998595702973
2001,YR2001,Mexico,MEX,6.36874291178691
2001,YR2001,Turkey,TUR,..
2001,YR2001,"Korea, Rep.",KOR,4.08764547324672
2001,YR2001,South Africa,ZAF,5.69385679824417
2001,YR2001,Poland,POL,..
2001,YR2001,United States,USA,4.62675686396421
2002,YR2002,Argentina,ARG,..
2002,YR2002,Brazil,BRA,48.3404374437697
2002,YR2002,China,CHN,4.67972434486251
2002,YR2002,India,IND,7.90717719010452
2002,YR2002,Indonesia,IDN,12.3224124961922
2002,YR2002,Mexico,MEX,2.56623799537731
2002,YR2002,Turkey,TUR,..
2002,YR2002,"Korea, Rep.",KOR,3.62604404098715
2002,YR2002,South Africa,ZAF,3.15913479004747
2002,YR2002,Poland,POL,..
2002,YR2002,United States,USA,3.04507118458628
2003,YR2003,Argentina,ARG,..
2003,YR2003,Brazil,BRA,46.4473988422892
2003,YR2003,China,CHN,2.63814663563092
2003,YR2003,India,IND,7.30788115953461
2003,YR2003,Indonesia,IDN,10.8520711478648
2003,YR2003,Mexico,MEX,2.86722418362441
2003,YR2003,Turkey,TUR,..
2003,YR2003,"Korea, Rep.",KOR,2.69373937175125
2003,YR2003,South Africa,ZAF,8.66287286688212
2003,YR2003,Poland,POL,..
2003,YR2003,United States,USA,2.22410112310282
2004,YR2004,Argentina,ARG,..
2004,YR2004,Brazil,BRA,43.7791527193086
2004,YR2004,China,CHN,-1.28281170464587
2004,YR2004,India,IND,4.91012830381202
2004,YR2004,Indonesia,IDN,5.13441023123413
2004,YR2004,Mexico,MEX,-0.484780797781082
2004,YR2004,Turkey,TUR,..
2004,YR2004,"Korea, Rep.",KOR,2.69208129866867
2004,YR2004,South Africa,ZAF,4.47270588199028
2004,YR2004,Poland,POL,..
2004,YR2004,United States,USA,1.60458893576253
2005,YR2005,Argentina,ARG,..
2005,YR2005,Brazil,BRA,44.6351679022297
2005,YR2005,China,CHN,1.61327750270832
2005,YR2005,India,IND,4.85514517245753
2005,YR2005,Indonesia,IDN,-0.245735467014808
2005,YR2005,Mexico,MEX,3.60908384051176
2005,YR2005,Turkey,TUR,..
2005,YR2005,"Korea, Rep.",KOR,4.50501653231774
2005,YR2005,South Africa,ZAF,4.90843137261001
2005,YR2005,Poland,POL,..
2005,YR2005,United States,USA,2.98135677415587
2006,YR2006,Argentina,ARG,..
2006,YR2006,Brazil,BRA,41.2403264794731
2006,YR2006,China,CHN,2.11057772637347
2006,YR2006,India,IND,2.57060670201817
2006,YR2006,Indonesia,IDN,1.65815142163524
2006,YR2006,Mexico,MEX,1.05519369988602
2006,YR2006,Turkey,TUR,..
2006,YR2006,"Korea, Rep.",KOR,6.22458862113753
2006,YR2006,South Africa,ZAF,4.62228229524549
2006,YR2006,Poland,POL,..
2006,YR2006,United States,USA,4.78644765750077
2007,YR2007,Argentina,ARG,..
2007,YR2007,Brazil,BRA,35.0225154651078
2007,YR2007,China,CHN,-0.259570586468016
2007,YR2007,India,IND,5.68184406332425
2007,YR2007,Indonesia,IDN,2.33967409088073
2007,YR2007,Mexico,MEX,1.6748159225407
2007,YR2007,Turkey,TUR,..
2007,YR2007,"Korea, Rep.",KOR,4.03485956347149
2007,YR2007,South Africa,ZAF,3.96627600631419
2007,YR2007,Poland,POL,..
2007,YR2007,United States,USA,5.22340584151622
2008,YR2008,Argentina,ARG,..
2008,YR2008,Brazil,BRA,35.3667577931037
2008,YR2008,China,CHN,-2.30561534258843
2008,YR2008,India,IND,3.77175624975725
2008,YR2008,Indonesia,IDN,-3.85224502633455
2008,YR2008,Mexico,MEX,2.38598083105844
2008,YR2008,Turkey,TUR,..
2008,YR2008,"Korea, Rep.",KOR,4.2226851837321
2008,YR2008,South Africa,ZAF,5.78278397590165
2008,YR2008,Poland,POL,..
2008,YR2008,United States,USA,3.08241133651995
2009,YR2009,Argentina,ARG,..
2009,YR2009,Brazil,BRA,34.7920096447121
2009,YR2009,China,CHN,5.53112290871345
2009,YR2009,India,IND,4.80859210832915
2009,YR2009,Indonesia,IDN,5.74795209578427
2009,YR2009,Mexico,MEX,2.99894871915234
2009,YR2009,Turkey,TUR,..
2009,YR2009,"Korea, Rep.",KOR,1.96945202608971
2009,YR2009,South Africa,ZAF,3.91035884428113
2009,YR2009,Poland,POL,..
2009,YR2009,United States,USA,2.46882889478265
2010,YR2010,Argentina,ARG,-8.56602872006595
2010,YR2010,Brazil,BRA,29.1158055318831
2010,YR2010,China,CHN,-1.00240121396208
2010,YR2010,India,IND,-1.98385922230245
